Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,240€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,416€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros sin asistencia en viaje,201€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros con asistencia en viaje,218€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros ampliado,345€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Todo riesgo con franquicia,717€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros sin asistencia en viaje,145€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros con asistencia en viaje,162€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros ampliado,251€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Todo riesgo con franquicia,359€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,111€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,128€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,213€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,357€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros sin asistencia en viaje,181€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros con asistencia en viaje,198€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros ampliado,344€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Todo riesgo con franquicia,649€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros sin asistencia en viaje,129€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros con asistencia en viaje,146€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros ampliado,246€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Todo riesgo con franquicia,359€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,100€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,117€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,191€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,08001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,323€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros sin asistencia en viaje,161€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros con asistencia en viaje,178€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Terceros ampliado,306€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),26,Todo riesgo con franquicia,573€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros sin asistencia en viaje,117€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros con asistencia en viaje,134€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Terceros ampliado,224€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),23,Todo riesgo con franquicia,359€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros sin asistencia en viaje,91€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros con asistencia en viaje,108€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Terceros ampliado,175€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,A1 (para conducir motos de hasta 125cc),19,Todo riesgo con franquicia,288€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros sin asistencia en viaje,146€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros con asistencia en viaje,163€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Terceros ampliado,278€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",26,Todo riesgo con franquicia,519€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros sin asistencia en viaje,105€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros con asistencia en viaje,122€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Terceros ampliado,201€
YAMAHA,DELIGHT,125 cc,DELIGHT 125,8 CV,2021,2021,26,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",23,Todo riesgo con franquicia,329€
