Marca,Modelo,Cilindrada,Versión,Potencia,Año lanzamiento,Año matriculación,Edad actual,Código postal,Tipo carnet,Edad carnet,Tipo seguro,Precio mínimo
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros sin asistencia en viaje,139€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros con asistencia en viaje,157€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Terceros ampliado,266€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,22,28001,"A2 (para motos de hasta 35kw y 0,2 kw/kg o motos limitadas)",19,Todo riesgo con franquicia,463€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros sin asistencia en viaje,215€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros con asistencia en viaje,232€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Terceros ampliado,361€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),26,Todo riesgo con franquicia,769€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros sin asistencia en viaje,155€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros con asistencia en viaje,172€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Terceros ampliado,265€
HONDA,CB 125,124 cc,CB 125 F,11 CV,2021,2021,26,08001,A1 (para conducir motos de hasta 125cc),23,Todo riesgo con franquicia,364€
